id,name,status,created_at,updated_at
eval-task-mvtb79-1782883521,baseline_sft,,2026-07-01T05:25:22Z,
eval-task-38vfcj-1782906675,v2_V1_eval_20260701195109,,2026-07-01T11:51:15Z,
eval-task-g7h8gm-1782963521,onereason-material-v3,,2026-07-02T03:38:42Z,
eval-task-rgxb5t-1782978011,baseline-epoch3_V1_eval_20260702153958,,2026-07-02T07:40:12Z,
eval-task-b7l9ri-1782990342,OneReason-0.8B-recipe1-seed-bs32-ep3,,2026-07-02T11:05:43Z,
eval-task-qmlx3b-1783008835,recipe2_w5_ep1_V1_eval_20260703001348,,2026-07-02T16:13:56Z,
eval-task-llfijj-1783062127,seed_ep3_V1_eval_20260703150200,,2026-07-03T07:02:07Z,
eval-task-4twavz-1783089079,rebal_world_ep3_V1_eval_20260703223107,,2026-07-03T14:31:19Z,
eval-task-zcb312-1783125657,rebal_mat_ep3,,2026-07-04T00:40:58Z,
eval-task-lczrur-1783156107,rebal_world_ep3_V1_eval_20260703223107_copy,,2026-07-04T09:08:28Z,
eval-task-933dca-1783184219,fk_lora_embed_ep1,,2026-07-04T16:56:59Z,
eval-task-k8q57p-1783216904,wc_shared_baseline,,2026-07-05T02:01:44Z,
eval-task-yzhodd-1783237380,wc_shared_baseline_add_knowworld_V1_eval_20260705154228,,2026-07-05T07:43:00Z,
eval-task-yj0yko-1783260543,pstack_v2_ep3,,2026-07-05T14:09:03Z,
eval-task-pu2f47-1783306721,seed_ep5,,2026-07-06T02:58:41Z,
eval-task-651m3h-1783323564,tokengeo_v1_ep3_V1_eval_20260706153906,,2026-07-06T07:39:24Z,
eval-task-3eo9jz-1783336581,riders_fk_lora_ep1,,2026-07-06T11:16:21Z,
eval-task-oi2lss-1783397649,riders_fk_lora_ep1_copy,,2026-07-07T04:14:09Z,
eval-task-m1phs0-1783427882,global_v1_lora_ep1_V1_eval_20260707203748,,2026-07-07T12:38:02Z,
eval-task-vo2hjc-1783479803,懂世界hardcase,,2026-07-08T03:03:23Z,
eval-task-jysa9i-1783486168,quality_swap_v1_lora_ep1_V1_eval_20260708122552,,2026-07-08T04:49:29Z,
eval-task-np2en6-1783501903,official_rec_v3_lora_ep1_V1_eval_20260708171051,,2026-07-08T09:11:44Z,
eval-task-6tn1xs-1783564210,evalform_v1_lora_ep1_V1_eval_20260709102947,,2026-07-09T02:30:10Z,
eval-task-b8fnw7-1783566714,cjs_test_full_sft_seed_V1_eval_20260709111137,,2026-07-09T03:11:54Z,
eval-task-bwvp08-1783581556,riders_fk_plat_ep1-epoch1_V1_eval_20260709151911,,2026-07-09T07:19:16Z,
eval-task-9onq96-1783657430,ep5_rider_v1_platform_V1_eval_20260710122339,,2026-07-10T04:23:51Z,
eval-task-j6oq6v-1783661237,riders_fk_lora_ep1_copy,,2026-07-10T05:27:17Z,
eval-task-cax6gm-1783677909,act_v1_V1_eval_20260710180459,,2026-07-10T10:05:09Z,
eval-task-1des9n-1783746388,seed_ep5_copy,,2026-07-11T05:06:28Z,
eval-task-k1kcdt-1783750536,rebal_world_ep3_V1_eval_20260703223107_copy,,2026-07-11T06:15:37Z,
eval-task-d9xyqv-1783775634,seed_cotfix_v1_lora_ep1_V1_eval_20260711211350,,2026-07-11T13:13:55Z,
eval-task-ej7m61-1783833965,riders_fk_clean_r64_e1_V1_eval_20260712132602,,2026-07-12T05:26:05Z,
eval-task-kr8jrm-1783834695,riders_fk_clean_r64_e2_V1_eval_20260712133805,,2026-07-12T05:38:15Z,
eval-task-6usmb7-1783908972,seed_teacher_r64_lr1e4_e2_V1_eval_20260713101607,,2026-07-13T02:16:13Z,
eval-task-00fvcu-1783914281,seed_teacher_r64_lr1e4_e1_V1_eval_20260713114434,,2026-07-13T03:44:41Z,
eval-task-3k8v5e-1783914292,seed_teacher_r64_lr1e4_e3_V1_eval_20260713114448,,2026-07-13T03:44:53Z,
eval-task-kxwokc-1783932031,seed_teacher_e3_cont_r64_lr2e5_ep1_V1_eval_20260713164018,,2026-07-13T08:40:32Z,
eval-task-jnbjjq-1783944993,e3_userres_r80_retkl_v3_ep1_V1_eval_20260713201614,,2026-07-13T12:16:34Z,
eval-task-9ie86v-1783961075,e3_userres_r80_retkl_v3_s875_V1_eval_20260714004418,,2026-07-13T16:44:35Z,
eval-task-zjufuc-1784000022,e3_userres_r80_retkl_v3_s875_V1_eval_20260714004418_copy,,2026-07-14T03:33:43Z,
eval-task-xv9m1h-1784006857,e3_userres_r80_retkl_v3_s875_V1_eval_20260714004418_copy,,2026-07-14T05:27:38Z,
eval-task-lfrrhq-1784013605,seed_clean_r80_lr1e4_ep3_rerun1_V1_eval_20260714152001,,2026-07-14T07:20:05Z,
eval-task-hx55da-1784022780,e3_userres_r80_retkl_v3_s875_V1_eval_20260714175250,,2026-07-14T09:53:01Z,
eval-task-eeve0r-1784036284,seed_teacher_e3_dpo_rec_o1hard_lowdose_v2_st_eval_20260714213759,,2026-07-14T13:38:04Z,
eval-task-mobsyq-1784075348,wc-检查点复现对齐,,2026-07-15T00:29:09Z,
eval-task-h8gwve-1784082076,seed_teacher_cotfix_v2_r64_lr1e4_ep3_V1_eval_20260715102021,,2026-07-15T02:21:16Z,
